"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/18/2021","AQS","100010002","3","5.4","ug/m3 LC","23","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/19/2021","AQS","100010002","3","9.3","ug/m3 LC","39","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/20/2021","AQS","100010002","3","14.3","ug/m3 LC","56","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/21/2021","AQS","100010002","3","14.9","ug/m3 LC","57","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/22/2021","AQS","100010002","3","9","ug/m3 LC","38","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/23/2021","AQS","100010002","3","7","ug/m3 LC","29","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/24/2021","AQS","100010002","3","5.1","ug/m3 LC","21","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/03/2021","AQS","100010002","3","4.7","ug/m3 LC","20","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/04/2021","AQS","100010002","3","7.1","ug/m3 LC","30","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/05/2021","AQS","100010002","3","3.9","ug/m3 LC","16","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/06/2021","AQS","100010002","3","3.9","ug/m3 LC","16","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/07/2021","AQS","100010002","3","5.2","ug/m3 LC","22","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/08/2021","AQS","100010002","3","8.2","ug/m3 LC","34","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/09/2021","AQS","100010002","3","10.1","ug/m3 LC","42","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/10/2021","AQS","100010002","3","12.3","ug/m3 LC","51","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/11/2021","AQS","100010002","3","17.9","ug/m3 LC","63","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/12/2021","AQS","100010002","3","9.5","ug/m3 LC","40","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/13/2021","AQS","100010002","3","4.2","ug/m3 LC","18","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/14/2021","AQS","100010002","3","5.3","ug/m3 LC","22","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/15/2021","AQS","100010002","3","4.1","ug/m3 LC","17","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/16/2021","AQS","100010002","3","6.6","ug/m3 LC","28","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/17/2021","AQS","100010002","3","5.7","ug/m3 LC","24","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"03/18/2021","AQS","100010002","3","5","ug/m3 LC","21","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
